timestamp,device_id,ssd_name,log_type,file_source,sm_spare,sm_crit,sm_mdie,sm_used,sm_pc,sm_poh,sm_wctt,sm_cctt,sm_reads,sm_writes,sm_rbytes,sm_wbytes,state,slot,sn,namespace_id,namespace_name,read_ops,read_bytes,read_misalign,write_ops,write_bytes,write_misalign,trim_ops,trim_bytes,trim_misalign,size,nsid
2022-05-06 20:08:57.367000+00:00,E3A69807276C300C-BC7F54-B514050000,,NAMESPACE_STATS,2022-05-06T20:08:57.367+00:00_E3A69807276C300C-BC7F54-B514050000_1651867737_E3A69807276C300C-BC7F54-B514050000_icsn_E3A69807276C300C-BC7F54-B514050000.json,,,,,,,,,,,,,,,,3A4C1708276C300C-BC7F54-C306FB0900,Photos,6558.0,60362752.0,188608512.0,11952.0,1252143104.0,348606464.0,5592884.0,1464544632832.0,152068096.0,2000000000000.0,2.0
2022-05-06 21:27:42.830000+00:00,E3A69807276C300C-BC7F54-B514050000,SSD11,HEALTH,2022-05-06T21:27:42.830+00:00_E3A69807276C300C-BC7F54-B514050000_1651872462_E3A69807276C300C-BC7F54-B514050000_icsn_E3A69807276C300C-BC7F54-B514050000.json,100.0,0.0,0.0,14.0,478.0,1234.0,0.0,0.0,590085454.0,749322996.0,10905517568000.0,13680275456000.0,PS_QRUN,11.0,694S10OUTVDQ,,,,,,,,,,,,,
2022-05-06 21:27:42.830000+00:00,E3A69807276C300C-BC7F54-B514050000,SSD3,HEALTH,2022-05-06T21:27:42.830+00:00_E3A69807276C300C-BC7F54-B514050000_1651872462_E3A69807276C300C-BC7F54-B514050000_icsn_E3A69807276C300C-BC7F54-B514050000.json,100.0,0.0,0.0,14.0,479.0,1235.0,0.0,0.0,589695528.0,749332737.0,10903834112000.0,13680475136000.0,PS_QRUN,3.0,694S10N3TVDQ,,,,,,,,,,,,,
2022-05-06 21:27:42.830000+00:00,E3A69807276C300C-BC7F54-B514050000,SSD6,HEALTH,2022-05-06T21:27:42.830+00:00_E3A69807276C300C-BC7F54-B514050000_1651872462_E3A69807276C300C-BC7F54-B514050000_icsn_E3A69807276C300C-BC7F54-B514050000.json,100.0,0.0,0.0,14.0,476.0,1234.0,0.0,0.0,588100928.0,748980579.0,10836239360000.0,13671882240000.0,PS_QRUN,6.0,694S10MCTVDQ,,,,,,,,,,,,,
2022-05-06 21:27:42.830000+00:00,E3A69807276C300C-BC7F54-B514050000,SSD2,HEALTH,2022-05-06T21:27:42.830+00:00_E3A69807276C300C-BC7F54-B514050000_1651872462_E3A69807276C300C-BC7F54-B514050000_icsn_E3A69807276C300C-BC7F54-B514050000.json,100.0,0.0,0.0,14.0,478.0,1230.0,0.0,0.0,590673554.0,750534740.0,10908799488000.0,13685314560000.0,PS_QRUN,2.0,694S10LFTVDQ,,,,,,,,,,,,,
2022-05-06 21:27:42.830000+00:00,E3A69807276C300C-BC7F54-B514050000,SSD9,HEALTH,2022-05-06T21:27:42.830+00:00_E3A69807276C300C-BC7F54-B514050000_1651872462_E3A69807276C300C-BC7F54-B514050000_icsn_E3A69807276C300C-BC7F54-B514050000.json,100.0,0.0,0.0,14.0,479.0,1235.0,0.0,0.0,592386927.0,750740479.0,10918219776000.0,13686840832000.0,PS_QRUN,9.0,694S10L6TVDQ,,,,,,,,,,,,,
2022-05-06 21:27:42.830000+00:00,E3A69807276C300C-BC7F54-B514050000,SSD7,HEALTH,2022-05-06T21:27:42.830+00:00_E3A69807276C300C-BC7F54-B514050000_1651872462_E3A69807276C300C-BC7F54-B514050000_icsn_E3A69807276C300C-BC7F54-B514050000.json,100.0,0.0,0.0,14.0,479.0,1235.0,0.0,0.0,590005714.0,750673752.0,10907861504000.0,13686492672000.0,PS_QRUN,7.0,694S1085TVDQ,,,,,,,,,,,,,
2022-05-06 21:27:42.830000+00:00,E3A69807276C300C-BC7F54-B514050000,SSD1,HEALTH,2022-05-06T21:27:42.830+00:00_E3A69807276C300C-BC7F54-B514050000_1651872462_E3A69807276C300C-BC7F54-B514050000_icsn_E3A69807276C300C-BC7F54-B514050000.json,100.0,0.0,0.0,14.0,476.0,1233.0,0.0,0.0,587008870.0,749572447.0,10810699776000.0,13656574464000.0,PS_QRUN,1.0,694S10OWTVDQ,,,,,,,,,,,,,
2022-05-06 21:27:42.830000+00:00,E3A69807276C300C-BC7F54-B514050000,SSD12,HEALTH,2022-05-06T21:27:42.830+00:00_E3A69807276C300C-BC7F54-B514050000_1651872462_E3A69807276C300C-BC7F54-B514050000_icsn_E3A69807276C300C-BC7F54-B514050000.json,100.0,0.0,0.0,14.0,477.0,1233.0,0.0,0.0,590202125.0,750530294.0,10904626688000.0,13685366272000.0,PS_QRUN,12.0,694S10N1TVDQ,,,,,,,,,,,,,
2022-05-06 21:27:42.830000+00:00,E3A69807276C300C-BC7F54-B514050000,SSD8,HEALTH,2022-05-06T21:27:42.830+00:00_E3A69807276C300C-BC7F54-B514050000_1651872462_E3A69807276C300C-BC7F54-B514050000_icsn_E3A69807276C300C-BC7F54-B514050000.json,100.0,0.0,0.0,14.0,479.0,1235.0,0.0,0.0,589918089.0,750681957.0,10904997888000.0,13686665728000.0,PS_QRUN,8.0,694S10LDTVDQ,,,,,,,,,,,,,
2022-05-06 21:27:42.830000+00:00,E3A69807276C300C-BC7F54-B514050000,SSD4,HEALTH,2022-05-06T21:27:42.830+00:00_E3A69807276C300C-BC7F54-B514050000_1651872462_E3A69807276C300C-BC7F54-B514050000_icsn_E3A69807276C300C-BC7F54-B514050000.json,100.0,0.0,0.0,14.0,478.0,1234.0,0.0,0.0,590286735.0,749371324.0,10907937280000.0,13680485376000.0,PS_QRUN,4.0,694S10N2TVDQ,,,,,,,,,,,,,
2022-05-06 21:27:42.830000+00:00,E3A69807276C300C-BC7F54-B514050000,SSD10,HEALTH,2022-05-06T21:27:42.830+00:00_E3A69807276C300C-BC7F54-B514050000_1651872462_E3A69807276C300C-BC7F54-B514050000_icsn_E3A69807276C300C-BC7F54-B514050000.json,100.0,0.0,0.0,14.0,479.0,1230.0,0.0,0.0,589898858.0,749379301.0,10906496512000.0,13680632832000.0,PS_QRUN,10.0,694S10OVTVDQ,,,,,,,,,,,,,
2022-05-06 21:27:42.830000+00:00,E3A69807276C300C-BC7F54-B514050000,SSD5,HEALTH,2022-05-06T21:27:42.830+00:00_E3A69807276C300C-BC7F54-B514050000_1651872462_E3A69807276C300C-BC7F54-B514050000_icsn_E3A69807276C300C-BC7F54-B514050000.json,100.0,0.0,0.0,14.0,477.0,1235.0,0.0,0.0,590787317.0,749212132.0,10909495808000.0,13679611392000.0,PS_QRUN,5.0,694S10N0TVDQ,,,,,,,,,,,,,
2022-05-06 21:27:42.857000+00:00,E3A69807276C300C-BC7F54-B514050000,,NAMESPACE_STATS,2022-05-06T21:27:42.857+00:00_E3A69807276C300C-BC7F54-B514050000_1651872462_E3A69807276C300C-BC7F54-B514050000_icsn_E3A69807276C300C-BC7F54-B514050000.json,,,,,,,,,,,,,,,,3A4C1708276C300C-BC7F54-9502F90900,Virtual Machines,106391.0,2654748672.0,3074703360.0,316043.0,79813431296.0,10309021696.0,1251303.0,326739415040.0,121188352.0,1000000000000.0,1.0
2022-05-06 21:27:42.857000+00:00,E3A69807276C300C-BC7F54-B514050000,,NAMESPACE_STATS,2022-05-06T21:27:42.857+00:00_E3A69807276C300C-BC7F54-B514050000_1651872462_E3A69807276C300C-BC7F54-B514050000_icsn_E3A69807276C300C-BC7F54-B514050000.json,,,,,,,,,,,,,,,,3A4C1708276C300C-BC7F54-C306FB0900,Photos,6571.0,60448768.0,189046784.0,11964.0,1252225024.0,348983296.0,5592892.0,1464544669696.0,152293376.0,2000000000000.0,2.0
2022-05-06 22:08:22.254000+00:00,E3A69807276C300C-BC7F54-B514050000,SSD10,HEALTH,2022-05-06T22:08:22.254+00:00_E3A69807276C300C-BC7F54-B514050000_1651874901_E3A69807276C300C-BC7F54-B514050000_icsn_E3A69807276C300C-BC7F54-B514050000.json,100.0,0.0,0.0,14.0,479.0,1231.0,0.0,0.0,589898877.0,749379465.0,10906497024000.0,13680635392000.0,PS_QRUN,10.0,694S10OVTVDQ,,,,,,,,,,,,,
